[2025-01-22 12:06:05] Phy.Mem.Total, Pht.Mem.Aval, Commit.Charge.Current, Com.Cha.Limit, Commit.Charge.Peek, drengsrv.exe
[2025-01-22 12:07:09] 15711MB,3388MB,18686928KB,26050136KB,20487140KB,719MB
[2025-01-22 12:07:09] 15711MB,3377MB,18703808KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:10] 15711MB,3373MB,18709428KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:10] 15711MB,3373MB,18704400KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:10] 15711MB,3384MB,18639244KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:11] 15711MB,3423MB,18565772KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:11] 15711MB,3459MB,18499916KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:11] 15711MB,3463MB,18491524KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:12] 15711MB,3464MB,18492752KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:12] 15711MB,3464MB,18492384KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:12] 15711MB,3464MB,18492504KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:13] Phy.Mem.Total, Pht.Mem.Aval, Commit.Charge.Current, Com.Cha.Limit, Commit.Charge.Peek, drengsrv.exe
[2025-01-22 12:07:13] 15711MB,3464MB,18493572KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:13] 15711MB,3464MB,18494300KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:13] 15711MB,3461MB,18493316KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:14] 15711MB,3476MB,18478388KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:14] 15711MB,3476MB,18483080KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:14] 15711MB,3473MB,18488588KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:15] 15711MB,3468MB,18497316KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:15] 15711MB,3475MB,18488864KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:15] 15711MB,3476MB,18489244KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:16] 15711MB,3475MB,18487928KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:16] 15711MB,3477MB,18488008KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:16] 15711MB,3478MB,18484812KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:17] 15711MB,3474MB,18491612KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:17] 15711MB,3478MB,18487824KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:17] 15711MB,3466MB,18499172KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:18] 15711MB,3390MB,18623436KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:18] 15711MB,3387MB,18626720KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:18] 15711MB,3401MB,18606904KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:19] 15711MB,3385MB,18626776KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:19] 15711MB,3365MB,18701156KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:19] 15711MB,3376MB,18690776KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:20] 15711MB,3363MB,18717760KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:20] 15711MB,3353MB,18731420KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:20] 15711MB,3355MB,18738284KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:21] 15711MB,3352MB,18713840KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:21] 15711MB,3353MB,18716644KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:21] 15711MB,3359MB,18707280KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:22] 15711MB,3343MB,18733168KB,26050136KB,20487140KB,726MB
[2025-01-22 12:07:22] 15711MB,3331MB,18771136KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:22] 15711MB,3288MB,18830112KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:23] 15711MB,3275MB,18840572KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:23] 15711MB,3275MB,18839492KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:23] 15711MB,3264MB,18850388KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:24] 15711MB,3264MB,18846436KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:24] 15711MB,3260MB,18823628KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:25] 15711MB,3255MB,18836088KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:25] 15711MB,3304MB,18860044KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:25] 15711MB,3281MB,18894664KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:26] 15711MB,3281MB,18900360KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:26] 15711MB,3281MB,18889836KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:26] 15711MB,3280MB,18893912KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:27] 15711MB,3280MB,18897924KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:27] 15711MB,3280MB,18899728KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:27] 15711MB,3286MB,18893912KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:28] 15711MB,3287MB,18893556KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:28] 15711MB,3280MB,18901556KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:28] 15711MB,3280MB,18901916KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:29] 15711MB,3285MB,18897828KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:29] 15711MB,3286MB,18890660KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:29] 15711MB,3286MB,18881528KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:30] 15711MB,3291MB,18875648KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:30] 15711MB,3287MB,18874856KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:30] 15711MB,3292MB,18868436KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:31] 15711MB,3298MB,18859256KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:31] 15711MB,3306MB,18846852KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:31] 15711MB,3302MB,18853572KB,26050136KB,20487140KB,733MB
[2025-01-22 12:07:32] 15711MB,3306MB,18845612KB,26050136KB,20487140KB,735MB
[2025-01-22 12:07:32] 15711MB,3306MB,18848568KB,26050136KB,20487140KB,744MB
[2025-01-22 12:07:32] 15711MB,3312MB,18836644KB,26050136KB,20487140KB,744MB
[2025-01-22 12:07:33] 15711MB,3315MB,18832256KB,26050136KB,20487140KB,744MB
[2025-01-22 12:07:33] 15711MB,3315MB,18832148KB,26050136KB,20487140KB,745MB
[2025-01-22 12:07:33] 15711MB,3315MB,18833652KB,26050136KB,20487140KB,746MB
[2025-01-22 12:07:34] 15711MB,3315MB,18833028KB,26050136KB,20487140KB,746MB
[2025-01-22 12:07:34] 15711MB,3307MB,18838680KB,26050136KB,20487140KB,747MB
[2025-01-22 12:07:34] 15711MB,3314MB,18831564KB,26050136KB,20487140KB,748MB
[2025-01-22 12:07:35] 15711MB,3323MB,18810532KB,26050136KB,20487140KB,749MB
[2025-01-22 12:07:35] 15711MB,3324MB,18810636KB,26050136KB,20487140KB,751MB
[2025-01-22 12:07:35] 15711MB,3332MB,18801860KB,26050136KB,20487140KB,751MB
[2025-01-22 12:07:36] 15711MB,3321MB,18807104KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:36] 15711MB,3333MB,18786088KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:36] 15711MB,3332MB,18792208KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:37] 15711MB,3335MB,18781448KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:37] 15711MB,3341MB,18775580KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:37] 15711MB,3334MB,18783496KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:38] 15711MB,3342MB,18775724KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:38] 15711MB,3360MB,18760876KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:39] 15711MB,3364MB,18753892KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:39] 15711MB,3368MB,18747848KB,26050136KB,20487140KB,753MB
[2025-01-22 12:07:39] 15711MB,3358MB,18760644KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:40] 15711MB,3361MB,18757908KB,26050136KB,20487140KB,753MB
[2025-01-22 12:07:40] 15711MB,3369MB,18753248KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:40] 15711MB,3365MB,18752008KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:41] 15711MB,3364MB,18752932KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:41] 15711MB,3516MB,18627852KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:41] 15711MB,3517MB,18630960KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:42] 15711MB,3522MB,18627256KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:42] 15711MB,3517MB,18631044KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:42] 15711MB,3518MB,18631044KB,26050136KB,20487140KB,752MB
[2025-01-22 12:07:43] 15711MB,3523MB,18626560KB,26050136KB,20487140KB,752MB
